Humidity,Temperature,Time
66,23,12/09/2019 21:19:13
65,23,12/09/2019 21:19:25
65,23,12/09/2019 21:19:35
65,23,12/09/2019 21:19:46
65,23,12/09/2019 21:19:56
65,23,12/09/2019 21:20:06
65,23,12/09/2019 21:20:16
65,23,12/09/2019 21:20:26
66,23,12/09/2019 21:20:37
66,23,12/09/2019 21:20:49
66,23,12/09/2019 21:20:59
66,23,12/09/2019 21:21:10
66,23,12/09/2019 21:21:20
66,23,12/09/2019 21:21:30
66,23,12/09/2019 21:21:40
66,23,12/09/2019 21:21:50
66,23,12/09/2019 21:22:00
66,23,12/09/2019 21:22:11
66,23,12/09/2019 21:22:21
66,23,12/09/2019 21:22:31
66,23,12/09/2019 21:22:42
66,23,12/09/2019 21:22:53
65,23,12/09/2019 21:23:03
66,23,12/09/2019 21:23:14
66,23,12/09/2019 21:23:25
66,23,12/09/2019 21:23:36
66,23,12/09/2019 21:23:46
66,23,12/09/2019 21:23:56
66,23,12/09/2019 21:24:07
66,23,12/09/2019 21:24:18
66,23,12/09/2019 21:24:28
66,23,12/09/2019 21:24:40
65,23,12/09/2019 21:24:50
66,23,12/09/2019 21:25:00
66,23,12/09/2019 21:25:10
65,23,12/09/2019 21:25:20
65,23,12/09/2019 21:25:31
65,23,12/09/2019 21:25:41
66,23,12/09/2019 21:25:51
66,23,12/09/2019 21:26:04
65,23,12/09/2019 21:26:14
65,23,12/09/2019 21:26:25
65,23,12/09/2019 21:26:36
65,23,12/09/2019 21:26:46
65,23,12/09/2019 21:26:58
66,23,12/09/2019 21:27:09
65,23,12/09/2019 21:27:19
66,23,12/09/2019 21:27:30
65,23,12/09/2019 21:27:40
66,23,12/09/2019 21:27:50
66,23,12/09/2019 21:28:00
66,23,12/09/2019 21:28:10
66,23,12/09/2019 21:28:22
66,23,12/09/2019 21:28:32
66,23,12/09/2019 21:28:43
65,23,12/09/2019 21:28:53
66,23,12/09/2019 21:29:03
66,23,12/09/2019 21:29:13
66,23,12/09/2019 21:29:23
66,23,12/09/2019 21:29:33
66,23,12/09/2019 21:29:44
66,23,12/09/2019 21:29:54
66,23,12/09/2019 21:30:05
66,23,12/09/2019 21:30:16
66,23,12/09/2019 21:30:26
